Alderman,Committee,Start,End,
"u'Daley, Vi'",u'City Council',1999-05-03,2011-05-15,
"u'Dixon, Sharon'",u'City Council',2007-05-21,2011-05-15,
"u'Doherty, Brian'",u'City Council',1991-06-06,2011-05-15,
"u'Levar, Patrick'",u'City Council',1987-05-04,2011-05-15,
"u'Lyle, Freddrenna'",u'City Council',1998-02-05,2011-05-15,
"u'Newsome, Shirley'",u'City Council',2011-01-13,2011-05-15,
"u'Olivo, Frank'",u'City Council',1994-11-02,2011-05-15,
"u'Rice, John'",u'City Council',2009-10-07,2011-05-15,
"u'Rugai, Virginia'",u'City Council',1995-02-28,2011-05-15,
"u'Schulter, Eugene'",u'City Council',1975-04-18,2011-05-15,
"u'Shiller, Helen'",u'City Council',1987-05-04,2011-05-15,
"u'Smith, Mary Ann'",u'City Council',1989-05-24,2011-05-15,
"u'Stone, Bernard'",u'City Council',1973-07-06,2011-05-15,
"u'Allen, Thomas'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Allen, Thomas'","u'Committee on Economic, Capital and Technology Development'",2007-05-21,2011-05-16,
"u'Allen, Thomas'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Austin, Carrie M.'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Austin, Carrie M.'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Austin, Carrie M.'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Austin, Carrie M.'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Austin, Carrie M.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Balcer, James'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Balcer, James'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Balcer, James'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Balcer, James'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Beale, Anthony'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Beale, Anthony'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Beale, Anthony'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Beale, Anthony'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Brookins, Jr., Howard'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
