Committee on Education and Child Development,2016-08-31 00:00:00,"Moore, Joseph",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Hairston, Leslie A.",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Solis, Daniel",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Munoz, Ricardo",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Brookins, Jr., Howard",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Burnett, Jr., Walter",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Lopez, Raymond A.",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Beale, Anthony",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Taliaferro, Chris",present
Committee on Education and Child Development,2016-08-31 00:00:00,"O'Shea, Matthew J.",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Thompson, Patrick D.",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Smith, Michele",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Waguespack, Scott",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Arena, John",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Moore, David H.",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Sadlowski Garza, Susan",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Maldonado, Roberto",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Scott, Jr. Michael",present
Committee on Education and Child Development,2016-08-31 00:00:00,"O'Connor, Patrick",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Ervin, Jason C.",present
Committee on Education and Child Development,2016-08-31 00:00:00,"Dowell, Pat",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Osterman, Harry",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Sawyer, Roderick T.",absent
Committee on Education and Child Development,2016-08-31 00:00:00,"Cardenas, George A.",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"O'Connor, Patrick",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Ervin, Jason C.",present
Committee on Education and Child Development,2014-04-22 00:00:00,"O'Connor, Mary",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Burnett, Jr., Walter",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Solis, Daniel",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Cardenas, George A.",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Colon, Rey",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Beale, Anthony",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Waguespack, Scott",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Dowell, Pat",present
Committee on Education and Child Development,2014-04-22 00:00:00,"Mell, Deborah",present
Committee on Education and Child Development,2014-04-22 00:00:00,"Sawyer, Roderick T.",present
Committee on Education and Child Development,2014-04-22 00:00:00,"Munoz, Ricardo",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Maldonado, Roberto",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Thomas, Latasha R.",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Osterman, Harry",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"Moreno, Proco Joe",absent
Committee on Education and Child Development,2014-04-22 00:00:00,"O'Shea, Matthew J.",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Scott, Jr. Michael",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"O'Connor, Patrick",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Ervin, Jason C.",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Smith, Michele",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Sposato, Nicholas",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Burnett, Jr., Walter",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Osterman, Harry",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Lopez, Raymond A.",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Waguespack, Scott",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Beale, Anthony",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Dowell, Pat",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Solis, Daniel",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Sadlowski Garza, Susan",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"O'Shea, Matthew J.",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Munoz, Ricardo",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Burns, William D.",present
Committee on Education and Child Development,2015-06-29 00:00:00,"Moore, Joseph",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Maldonado, Roberto",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Cardenas, George A.",absent
Committee on Education and Child Development,2015-06-29 00:00:00,"Sawyer, Roderick T.",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"O'Connor, Patrick",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Ervin, Jason C.",present
Committee on Education and Child Development,2014-07-15 00:00:00,"O'Connor, Mary",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Burnett, Jr., Walter",present
Committee on Education and Child Development,2014-07-15 00:00:00,"Solis, Daniel",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Cardenas, George A.",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Colon, Rey",present
Committee on Education and Child Development,2014-07-15 00:00:00,"Beale, Anthony",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Waguespack, Scott",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Dowell, Pat",present
Committee on Education and Child Development,2014-07-15 00:00:00,"Mell, Deborah",present
Committee on Education and Child Development,2014-07-15 00:00:00,"O'Shea, Matthew J.",present
Committee on Education and Child Development,2014-07-15 00:00:00,"Munoz, Ricardo",absent
Committee on Education and Child Development,2014-07-15 00:00:00,"Maldonado, Roberto",present
Committee on Education and Child Development,2014-07-15 00:00:00,"Thomas, Latasha R.",present
