committee,date,alderman,status
Committee on Education and Child Development,8/31/16 0:00,"Moore, Joseph",0
Committee on Education and Child Development,8/31/16 0:00,"Hairston, Leslie A.",1
Committee on Education and Child Development,8/31/16 0:00,"Solis, Daniel",0
Committee on Education and Child Development,8/31/16 0:00,"Munoz, Ricardo",1
Committee on Education and Child Development,8/31/16 0:00,"Brookins, Jr., Howard",1
Committee on Education and Child Development,8/31/16 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,8/31/16 0:00,"Lopez, Raymond A.",0
Committee on Education and Child Development,8/31/16 0:00,"Beale, Anthony",0
Committee on Education and Child Development,8/31/16 0:00,"Taliaferro, Chris",1
Committee on Education and Child Development,8/31/16 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,8/31/16 0:00,"Thompson, Patrick D.",1
Committee on Education and Child Development,8/31/16 0:00,"Smith, Michele",0
Committee on Education and Child Development,8/31/16 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,8/31/16 0:00,"Arena, John",1
Committee on Education and Child Development,8/31/16 0:00,"Moore, David H.",1
Committee on Education and Child Development,8/31/16 0:00,"Sadlowski Garza, Susan",0
Committee on Education and Child Development,8/31/16 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,8/31/16 0:00,"Scott, Jr. Michael",1
Committee on Education and Child Development,8/31/16 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,8/31/16 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,8/31/16 0:00,"Dowell, Pat",0
Committee on Education and Child Development,8/31/16 0:00,"Osterman, Harry",0
Committee on Education and Child Development,8/31/16 0:00,"Sawyer, Roderick T.",0
Committee on Education and Child Development,8/31/16 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,4/22/14 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,4/22/14 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,4/22/14 0:00,"O'Connor, Mary",0
Committee on Education and Child Development,4/22/14 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,4/22/14 0:00,"Solis, Daniel",0
Committee on Education and Child Development,4/22/14 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,4/22/14 0:00,"Colon, Rey",0
Committee on Education and Child Development,4/22/14 0:00,"Beale, Anthony",0
Committee on Education and Child Development,4/22/14 0:00,"Waguespack, Scott",0
Committee on Education and Child Development,4/22/14 0:00,"Dowell, Pat",1
Committee on Education and Child Development,4/22/14 0:00,"Mell, Deborah",1
Committee on Education and Child Development,4/22/14 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,4/22/14 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,4/22/14 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,4/22/14 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,4/22/14 0:00,"Osterman, Harry",0
Committee on Education and Child Development,4/22/14 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,4/22/14 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,6/29/15 0:00,"Scott, Jr. Michael",0
Committee on Education and Child Development,6/29/15 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,6/29/15 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,6/29/15 0:00,"Smith, Michele",1
Committee on Education and Child Development,6/29/15 0:00,"Sposato, Nicholas",1
Committee on Education and Child Development,6/29/15 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,6/29/15 0:00,"Osterman, Harry",0
Committee on Education and Child Development,6/29/15 0:00,"Lopez, Raymond A.",1
Committee on Education and Child Development,6/29/15 0:00,"Waguespack, Scott",0
Committee on Education and Child Development,6/29/15 0:00,"Beale, Anthony",0
Committee on Education and Child Development,6/29/15 0:00,"Dowell, Pat",0
Committee on Education and Child Development,6/29/15 0:00,"Solis, Daniel",0
Committee on Education and Child Development,6/29/15 0:00,"Sadlowski Garza, Susan",0
Committee on Education and Child Development,6/29/15 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,6/29/15 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,6/29/15 0:00,"Burns, William D.",1
Committee on Education and Child Development,6/29/15 0:00,"Moore, Joseph",0
Committee on Education and Child Development,6/29/15 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,6/29/15 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,6/29/15 0:00,"Sawyer, Roderick T.",0
Committee on Education and Child Development,7/15/14 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,7/15/14 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,7/15/14 0:00,"O'Connor, Mary",0
Committee on Education and Child Development,7/15/14 0:00,"Burnett, Jr., Walter",1
Committee on Education and Child Development,7/15/14 0:00,"Solis, Daniel",0
Committee on Education and Child Development,7/15/14 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,7/15/14 0:00,"Colon, Rey",1
Committee on Education and Child Development,7/15/14 0:00,"Beale, Anthony",0
Committee on Education and Child Development,7/15/14 0:00,"Waguespack, Scott",0
Committee on Education and Child Development,7/15/14 0:00,"Dowell, Pat",1
Committee on Education and Child Development,7/15/14 0:00,"Mell, Deborah",1
Committee on Education and Child Development,7/15/14 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,7/15/14 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,7/15/14 0:00,"Maldonado, Roberto",1
Committee on Education and Child Development,7/15/14 0:00,"Thomas, Latasha R.",1
Committee on Education and Child Development,7/15/14 0:00,"Osterman, Harry",0
Committee on Education and Child Development,7/15/14 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,7/15/14 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,10/5/15 0:00,"Moore, Joseph",1
Committee on Education and Child Development,10/5/15 0:00,"Solis, Daniel",0
Committee on Education and Child Development,10/5/15 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,10/5/15 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,10/5/15 0:00,"Lopez, Raymond A.",0
Committee on Education and Child Development,10/5/15 0:00,"Beale, Anthony",1
Committee on Education and Child Development,10/5/15 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,10/5/15 0:00,"Smith, Michele",1
Committee on Education and Child Development,10/5/15 0:00,"Sposato, Nicholas",1
Committee on Education and Child Development,10/5/15 0:00,"Ramirez-Rosa, Carlos",1
Committee on Education and Child Development,10/5/15 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,10/5/15 0:00,"Dowell, Pat",1
Committee on Education and Child Development,10/5/15 0:00,"Sadlowski Garza, Susan",1
Committee on Education and Child Development,10/5/15 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,10/5/15 0:00,"Scott, Jr. Michael",1
Committee on Education and Child Development,10/5/15 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,10/5/15 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,10/5/15 0:00,"Mitts, Emma",1
Committee on Education and Child Development,10/5/15 0:00,"Osterman, Harry",1
