Alderman,Committee,Start,End
"u'Daley, Vi'",u'City Council',5/3/99,5/15/11
"u'Dixon, Sharon'",u'City Council',5/21/07,5/15/11
"u'Doherty, Brian'",u'City Council',6/6/91,5/15/11
"u'Levar, Patrick'",u'City Council',5/4/87,5/15/11
"u'Lyle, Freddrenna'",u'City Council',2/5/98,5/15/11
"u'Newsome, Shirley'",u'City Council',1/13/11,5/15/11
"u'Olivo, Frank'",u'City Council',11/2/94,5/15/11
"u'Rice, John'",u'City Council',10/7/09,5/15/11
"u'Rugai, Virginia'",u'City Council',2/28/95,5/15/11
"u'Schulter, Eugene'",u'City Council',4/18/75,5/15/11
"u'Shiller, Helen'",u'City Council',5/4/87,5/15/11
"u'Smith, Mary Ann'",u'City Council',5/24/89,5/15/11
"u'Stone, Bernard'",u'City Council',7/6/73,5/15/11
"u'Allen, Thomas'",u'Committee on Buildings',5/21/07,5/16/11
"u'Allen, Thomas'","u'Committee on Economic, Capital and Technology Development'",5/21/07,5/16/11
"u'Allen, Thomas'",u'Committee on Zoning',5/21/07,5/16/11
"u'Austin, Carrie M.'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Austin, Carrie M.'",u'Committee on Health',5/21/07,5/16/11
"u'Austin, Carrie M.'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Austin, Carrie M.'",u'Committee on Zoning',5/21/07,5/16/11
"u'Austin, Carrie M.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Balcer, James'",u'Committee on Health',5/21/07,5/16/11
"u'Balcer, James'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Balcer, James'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Balcer, James'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Beale, Anthony'",u'Committee on Education',5/21/07,5/16/11
"u'Beale, Anthony'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Beale, Anthony'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Beale, Anthony'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Brookins, Jr., Howard'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Brookins, Jr., Howard'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Brookins, Jr., Howard'",u'Committee on Zoning',5/21/07,5/16/11
"u'Brookins, Jr., Howard'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Burke, Edward M.'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Burke, Edward M.'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Burke, Edward M.'",u'Committee on Zoning',5/21/07,5/16/11
"u'Burke, Edward M.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Committee on Buildings',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Committee on Education',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Committee on Health',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Burnett, Jr., Walter'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Cardenas, George A.'",u'Committee on Education',5/21/07,5/16/11
"u'Cardenas, George A.'",u'Committee on Health',5/21/07,5/16/11
"u'Cardenas, George A.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Cochran, Willie'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Colon, Rey'",u'Committee on Health',5/21/07,5/16/11
"u'Colon, Rey'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Colon, Rey'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Colon, Rey'",u'Committee on Zoning',5/21/07,5/16/11
"u'Colon, Rey'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Cullerton, Timothy M.'",u'Committee on Buildings',1/13/11,5/16/11
"u'Cullerton, Timothy M.'",u'Committee on Historical Landmark Preservation',1/13/11,5/16/11
"u'Daley, Richard M.'",u'Office of the Mayor',4/24/89,5/16/11
"u'Daley, Vi'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Daley, Vi'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Daley, Vi'","u'Committee on Economic, Capital and Technology Development'",5/21/07,5/16/11
"u'Daley, Vi'",u'Committee on Finance',5/21/07,5/16/11
"u'Daley, Vi'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Daley, Vi'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Daley, Vi'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Daley, Vi'",u'Committee on Zoning',5/21/07,5/16/11
"u'Daley, Vi'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Del Valle, Miguel'",u'Office of the City Clerk',5/15/07,5/16/11
"u'Dixon, Sharon'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Dixon, Sharon'",u'Committee on Education',5/21/07,5/16/11
"u'Dixon, Sharon'",u'Committee on Health',5/21/07,5/16/11
"u'Dixon, Sharon'",u'Committee on Housing and Real Estate',5/21/07,5/16/11
"u'Dixon, Sharon'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Aviation',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Doherty, Brian'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Finance',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Doherty, Brian'",u'Committee on Transportation and Public Way',5/21/07,5/16/11
"u'Doherty, Brian'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Dowell, Pat'",u'Committee on Health',5/21/07,5/16/11
"u'Dowell, Pat'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Ervin, Jason C.'",u'Committee on Buildings',1/13/11,5/16/11
"u'Ervin, Jason C.'",u'Committee on Education',1/13/11,5/16/11
"u'Ervin, Jason C.'",u'Committee on Parks and Recreation',1/13/11,5/16/11
"u'Fioretti, Bob'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Fioretti, Bob'",u'Committee on Health',5/21/07,5/16/11
"u'Fioretti, Bob'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Buildings',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Graham, Deborah L.'",u'Committee on Special Events and Cultural Affairs',3/26/10,5/16/11
"u'Graham, Deborah L.'",u'Committee on Traffic Control and Safety',3/26/10,5/16/11
"u'Hairston, Leslie A.'",u'Committee on Buildings',5/21/07,5/16/11
"u'Hairston, Leslie A.'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Hairston, Leslie A.'",u'Committee on Parks and Recreation',5/21/07,5/16/11
